t success_mf success_sw
0.25 0 0.046875
0.5 0 0.078125
0.75 0.00520833 0.0989583
1 0.00390625 0.128906
1.25 0.00390625 0.207031
1.5 0.0078125 0.253906
1.75 0.00390625 0.300781
2 0.0078125 0.347656
2.25 0.0117188 0.339844
2.5 0.0117188 0.355469
2.75 0.015625 0.390625
3 0.0117188 0.378906
3.25 0.015625 0.382812
3.5 0.0234375 0.375
3.75 0.03125 0.375
4 0.046875 0.414062
4.25 0.0507812 0.449219
4.5 0.0546875 0.488281
4.75 0.0664062 0.5
5 0.0703125 0.5
5.25 0.0585938 0.511719
5.5 0.0546875 0.515625
5.75 0.0625 0.519531
6 0.0507812 0.535156
6.25 0.0585938 0.527344
6.5 0.078125 0.539062
6.75 0.078125 0.535156
7 0.09375 0.535156
7.25 0.09375 0.566406
7.5 0.078125 0.585938
7.75 0.0546875 0.585938
8 0.0585938 0.578125
8.25 0.0742188 0.589844
8.5 0.0664062 0.605469
8.75 0.0898438 0.640625
9 0.0898438 0.648438
9.25 0.0859375 0.636719
9.5 0.101562 0.589844
9.75 0.0898438 0.5625
10 0.0859375 0.601562
10.25 0.0820312 0.597656
10.5 0.0742188 0.632812
10.75 0.078125 0.65625
11 0.09375 0.628906
11.25 0.113281 0.660156
11.5 0.121094 0.667969
11.75 0.152344 0.679688
12 0.152344 0.683594
12.25 0.140625 0.65625
12.5 0.15625 0.640625
12.75 0.128906 0.621094
13 0.15625 0.605469
13.25 0.160156 0.597656
13.5 0.15625 0.636719
13.75 0.15625 0.632812
14 0.132812 0.644531
14.25 0.148438 0.664062
14.5 0.164062 0.632812
14.75 0.1875 0.632812
15 0.195312 0.652344
15.25 0.1875 0.679688
15.5 0.183594 0.675781
15.75 0.191406 0.710938
16 0.195312 0.695312
16.25 0.214844 0.675781
16.5 0.226562 0.710938
16.75 0.222656 0.683594
17 0.246094 0.679688
17.25 0.222656 0.6875
17.5 0.226562 0.671875
17.75 0.238281 0.664062
18 0.226562 0.6875
18.25 0.261719 0.667969
18.5 0.265625 0.652344
18.75 0.265625 0.65625
19 0.289062 0.632812
19.25 0.324219 0.625
19.5 0.34375 0.652344
19.75 0.367188 0.703125
20 0.382812 0.722656
20.25 0.382812 0.730469
20.5 0.378906 0.730469
20.75 0.40625 0.714844
21 0.4375 0.699219
21.25 0.445312 0.699219
21.5 0.480469 0.679688
21.75 0.484375 0.660156
22 0.496094 0.699219
22.25 0.5 0.71875
22.5 0.5 0.734375
22.75 0.523438 0.742188
23 0.523438 0.722656
23.25 0.570312 0.71875
23.5 0.613281 0.71875
23.75 0.621094 0.726562
24 0.632812 0.710938
24.25 0.636719 0.703125
24.5 0.660156 0.714844
24.75 0.667969 0.707031
25 0.675781 0.714844
25.25 0.640625 0.722656
25.5 0.628906 0.695312
25.75 0.648438 0.699219
26 0.660156 0.71875
26.25 0.714844 0.734375
26.5 0.726562 0.761719
26.75 0.753906 0.789062
27 0.769531 0.773438
27.25 0.78125 0.777344
27.5 0.816406 0.773438
27.75 0.800781 0.769531
28 0.816406 0.777344
28.25 0.84375 0.753906
28.5 0.84375 0.730469
28.75 0.882812 0.71875
29 0.890625 0.707031
29.25 0.90625 0.695312
29.5 0.921875 0.6875
29.75 0.925781 0.683594
30 0.9375 0.707031
30.25 0.941406 0.726562
30.5 0.945312 0.761719
30.75 0.949219 0.757812
31 0.96875 0.746094
31.25 0.976562 0.75
31.5 0.984375 0.734375
31.75 0.980469 0.757812
32 0.972656 0.773438
32.25 0.96875 0.738281
32.5 0.960938 0.765625
32.75 0.972656 0.757812
33 0.980469 0.75
33.25 0.984375 0.769531
33.5 0.996094 0.746094
33.75 0.996094 0.734375
34 0.992188 0.726562
34.25 0.992188 0.738281
34.5 0.988281 0.730469
34.75 0.988281 0.738281
35 0.992188 0.757812
35.25 0.992188 0.765625
35.5 0.996094 0.765625
35.75 1 0.765625
36 1 0.746094
