lam eps q checks
0 0 0.6 2.92339
0 0 0.8 3.24194
0 0 0.95 2.14516
0 0.02 0.6 3.05645
0 0.02 0.8 3.27823
0 0.02 0.95 2.21371
0 0.05 0.6 2.86694
0 0.05 0.8 2.93548
0 0.05 0.95 2.22984
0 0.1 0.6 3.18952
0 0.1 0.8 2.50403
0 0.1 0.95 2.29839
0 0.2 0.6 4.125
0 0.2 0.8 2.71371
0 0.2 0.95 1.69355
0 0.35 0.6 3.87903
0 0.35 0.8 2.17339
0 0.35 0.95 1.27016
0.2 0 0.6 2.74194
0.2 0 0.8 2.99194
0.2 0 0.95 2.18548
0.2 0.02 0.6 2.66129
0.2 0.02 0.8 3.25806
0.2 0.02 0.95 2.25806
0.2 0.05 0.6 2.71371
0.2 0.05 0.8 2.91532
0.2 0.05 0.95 2.02419
0.2 0.1 0.6 3.67742
0.2 0.1 0.8 2.70565
0.2 0.1 0.95 2.22984
0.2 0.2 0.6 3.78226
0.2 0.2 0.8 2.625
0.2 0.2 0.95 1.58468
0.2 0.35 0.6 3.62903
0.2 0.35 0.8 1.80645
0.2 0.35 0.95 1.36694
0.4 0 0.6 2.89113
0.4 0 0.8 2.50806
0.4 0 0.95 2.35887
0.4 0.02 0.6 3.03226
0.4 0.02 0.8 2.80242
0.4 0.02 0.95 1.95161
0.4 0.05 0.6 2.64919
0.4 0.05 0.8 2.70161
0.4 0.05 0.95 2.39113
0.4 0.1 0.6 3.45565
0.4 0.1 0.8 2.68548
0.4 0.1 0.95 2.26613
0.4 0.2 0.6 3.95968
0.4 0.2 0.8 2.92742
0.4 0.2 0.95 1.66935
0.4 0.35 0.6 4.45161
0.4 0.35 0.8 2.03629
0.4 0.35 0.95 1.34677
0.6 0 0.6 2.90323
0.6 0 0.8 2.93548
0.6 0 0.95 2.07258
0.6 0.02 0.6 2.77823
0.6 0.02 0.8 2.75806
0.6 0.02 0.95 2.14516
0.6 0.05 0.6 2.74597
0.6 0.05 0.8 2.85887
0.6 0.05 0.95 2.2621
0.6 0.1 0.6 3.42339
0.6 0.1 0.8 3.26613
0.6 0.1 0.95 2.37903
0.6 0.2 0.6 3.49194
0.6 0.2 0.8 2.35484
0.6 0.2 0.95 1.72984
0.6 0.35 0.6 4.14919
0.6 0.35 0.8 2.20968
0.6 0.35 0.95 1.62097
0.8 0 0.6 2.54032
0.8 0 0.8 2.77419
0.8 0 0.95 2.41532
0.8 0.02 0.6 3.18145
0.8 0.02 0.8 3.02016
0.8 0.02 0.95 2.22581
0.8 0.05 0.6 2.58871
0.8 0.05 0.8 2.75
0.8 0.05 0.95 2.625
0.8 0.1 0.6 3.12903
0.8 0.1 0.8 2.77016
0.8 0.1 0.95 1.98387
0.8 0.2 0.6 3.5121
0.8 0.2 0.8 2.44758
0.8 0.2 0.95 1.75806
0.8 0.35 0.6 4.12903
0.8 0.35 0.8 2.31855
0.8 0.35 0.95 1.34274
0.9 0 0.6 2.96774
0.9 0 0.8 2.65323
0.9 0 0.95 2.14516
0.9 0.02 0.6 2.90726
0.9 0.02 0.8 2.71774
0.9 0.02 0.95 2.4879
0.9 0.05 0.6 2.57661
0.9 0.05 0.8 2.73387
0.9 0.05 0.95 2.52823
0.9 0.1 0.6 3.44758
0.9 0.1 0.8 2.55242
0.9 0.1 0.95 1.94758
0.9 0.2 0.6 3.07258
0.9 0.2 0.8 2.61694
0.9 0.2 0.95 1.72984
0.9 0.35 0.6 3.02419
0.9 0.35 0.8 2.06452
0.9 0.35 0.95 1.29435
0.95 0 0.6 2.90323
0.95 0 0.8 2.68952
0.95 0 0.95 2.53226
0.95 0.02 0.6 3.60081
0.95 0.02 0.8 3.125
0.95 0.02 0.95 1.96774
0.95 0.05 0.6 2.61694
0.95 0.05 0.8 2.89516
0.95 0.05 0.95 2.26613
0.95 0.1 0.6 2.81452
0.95 0.1 0.8 2.64919
0.95 0.1 0.95 2.26613
0.95 0.2 0.6 3.20565
0.95 0.2 0.8 1.96371
0.95 0.2 0.95 1.875
0.95 0.35 0.6 4.60081
0.95 0.35 0.8 2.29839
0.95 0.35 0.95 1.5
0.99 0 0.6 2.57661
0.99 0 0.8 2.57661
0.99 0 0.95 2.18952
0.99 0.02 0.6 2.50806
0.99 0.02 0.8 3.10081
0.99 0.02 0.95 2.1129
0.99 0.05 0.6 2.73387
0.99 0.05 0.8 2.66935
0.99 0.05 0.95 2.24194
0.99 0.1 0.6 3.1129
0.99 0.1 0.8 2.69355
0.99 0.1 0.95 2.16532
0.99 0.2 0.6 3.40726
0.99 0.2 0.8 2.26613
0.99 0.2 0.95 2.08065
0.99 0.35 0.6 3.39113
0.99 0.35 0.8 1.97581
0.99 0.35 0.95 1.50806
