trace_type q lam checks checks_lo checks_hi netrew netrew_lo netrew_hi slope100 slope100_lo slope100_hi belief_leave disaster qgap pers winstay loseshift
1 0.6 0 2.747 2.65904 2.83496 -0.20235 -0.240448 -0.164252 0.134768 0.100796 0.16874 0.0595032 0.0065 0.697439 0.771429 0.838945 0.368527
1 0.6 0.2 2.7735 2.6872 2.8598 -0.198675 -0.231781 -0.165569 0.122108 0.0818638 0.162353 0.060995 0.006 0.909976 0.736607 0.833377 0.416905
1 0.6 0.4 2.8555 2.76741 2.94359 -0.202775 -0.255053 -0.150497 0.162156 0.125081 0.19923 0.0599172 0.006 0.819925 0.708929 0.832673 0.421846
1 0.6 0.6 2.81 2.70101 2.91899 -0.2205 -0.268894 -0.172106 0.134053 0.0861722 0.181933 0.0608761 0.008 0.796488 0.61875 0.820553 0.487073
1 0.6 0.8 2.7725 2.64364 2.90136 -0.208625 -0.249794 -0.167456 0.140837 0.0908719 0.190803 0.0617343 0.007 0.723183 0.4375 0.776601 0.50221
1 0.6 0.9 2.764 2.67153 2.85647 -0.2332 -0.300478 -0.165922 0.116016 0.078227 0.153805 0.0624808 0.0095 0.854488 0.399107 0.796554 0.392349
1 0.6 0.95 2.7765 2.6509 2.9021 -0.218825 -0.282856 -0.154794 0.146222 0.0836763 0.208768 0.0617642 0.008 0.852199 0.358929 0.781526 0.392627
1 0.6 0.99 2.7005 2.56434 2.83666 -0.175025 -0.203857 -0.146193 0.130167 0.0842059 0.176128 0.0635717 0.004 0.795318 0.383036 0.703781 0.42382
1 0.8 0 3.127 2.92711 3.32689 -0.21135 -0.238256 -0.184444 0.173005 0.0935083 0.252502 0.0288948 0.0055 1.4268 0.776786 0.844708 0.38507
1 0.8 0.2 2.8305 2.65006 3.01094 -0.211525 -0.244889 -0.178161 0.117148 0.0523262 0.18197 0.032696 0.007 1.33821 0.708929 0.841634 0.418485
1 0.8 0.4 3.0165 2.80411 3.22889 -0.215825 -0.253961 -0.177689 0.182103 0.106401 0.257805 0.0328945 0.0065 0.832555 0.6875 0.831083 0.455102
